sim_id,model,alpha,t_test,breach_rate,kupiec_pval,christo_pval,es_realized
15,Historical-VaR,0.01,58,0.06896551724137931,0.0029859389941127024,0.23469323729108316,1.8887149802053256
15,GARCH-t,0.05,250,0.016,0.004223420509394504,0.04270457626805502,2.2173878876568014
15,GARCH-Normal,0.05,250,0.032,0.16322015045707905,0.23991931651644083,1.9038647740224552
15,XGBoost-Q,0.05,250,0.088,0.012356545939324781,0.43461653760061447,1.5063849985408504
15,Historical-VaR,0.05,250,0.064,0.3293742025406984,0.3561236544492167,1.666523737932343
15,GARCH-t,0.01,250,0.004,0.2780714900139599,1.0,2.8928802648397824
15,GARCH-Normal,0.01,250,0.004,0.2780714900139599,1.0,2.8928802648397824
15,XGBoost-Q,0.01,250,0.016,0.380483738238954,0.04270457626805502,2.2173878876568014
15,Historical-VaR,0.01,250,0.028,0.01904923089052679,0.00944698975425362,1.9330758866583893
16,GARCH-t,0.05,58,0.034482758620689655,0.566622286684572,1.0,1.6022118564430712
16,GARCH-Normal,0.05,58,0.034482758620689655,0.566622286684572,1.0,1.6022118564430712
16,XGBoost-Q,0.05,58,0.05172413793103448,0.9522160163149069,0.10826140068536261,1.4323827533344746
16,Historical-VaR,0.05,58,0.017241379310344827,0.18772840378073352,1.0,1.7551485100107205
16,GARCH-t,0.01,58,0.0,0.2802578748911524,1.0,
16,GARCH-Normal,0.01,58,0.0,0.2802578748911524,1.0,
16,XGBoost-Q,0.01,58,0.017241379310344827,0.6152964566692893,1.0,1.7551485100107205
16,Historical-VaR,0.01,58,0.0,0.2802578748911524,1.0,
16,GARCH-t,0.05,250,0.048,0.8838996943305626,0.5938165372595774,1.72766585720145
16,GARCH-Normal,0.05,250,0.048,0.8838996943305626,0.5938165372595774,1.72766585720145
16,XGBoost-Q,0.05,250,0.068,0.21457514830975966,0.44160858786642465,1.5982099043771865
16,Historical-VaR,0.05,250,0.06,0.4812385279526591,0.9144032996435878,1.6570075714129229
16,GARCH-t,0.01,250,0.008,0.7419327009525927,1.0,2.2026461286885897
16,GARCH-Normal,0.01,250,0.008,0.7419327009525927,1.0,2.2026461286885897
16,XGBoost-Q,0.01,250,0.008,0.7419327009525927,1.0,1.8079908565225462
16,Historical-VaR,0.01,250,0.012,0.7579883213733308,1.0,2.1395386519469803
17,GARCH-t,0.05,58,0.05172413793103448,0.9522160163149069,1.0,1.491096595800513
17,GARCH-Normal,0.05,58,0.06896551724137931,0.5297992033445762,1.0,1.402810064832529
17,XGBoost-Q,0.05,58,0.05172413793103448,0.9522160163149069,1.0,1.491096595800513
